cosine_score,mass_difference,node1,node2
0.9475,-44.026,10728_pos,11879_pos
1,0,46010_pos,46010_pos
1,-0.01,44753_pos,44858_pos
1,0,35681_pos,35681_pos
0.9867,-44.026,7437_pos,9660_pos
0.9818,-88.052,5132_pos,9660_pos
0.9795,-44.026,9660_pos,10872_pos
0.988,-44.026,6620_pos,9660_pos
0.9873,-88.053,9660_pos,13845_pos
0.9808,-149.105,9660_pos,10636_pos
0.9846,-44.026,9660_pos,10028_pos
0.9795,44.026,8258_pos,9660_pos
0.981,-0.002,9660_pos,17112_pos
0.8001,-76.031,5365_pos,35880_pos
0.8683,0.984,1868_pos,2860_pos
0.8604,-155.005,1868_pos,8712_pos
0.8718,2.015,1868_pos,2149_pos
1,0,27229_pos,27229_pos
0.9793,0,45008_pos,46671_pos
0.9211,0,38778_pos,45008_pos
0.9642,0,36970_pos,45008_pos
0.9735,0,40115_pos,45008_pos
1,0,38459_pos,38459_pos
0.8796,-14.015,37388_pos,40521_pos
0.8855,-14.015,38923_pos,40521_pos
0.8805,-14.015,40289_pos,40521_pos
0.8576,-63.972,7563_pos,15488_pos
0.8669,-229.942,8193_pos,15488_pos
0.8675,-63.972,6442_pos,15488_pos
0.9303,-79.967,12398_pos,15488_pos
0.9396,0,45376_pos,49643_pos
0.921,-0.057,15953_pos,17908_pos
1,0,55556_pos,55556_pos
0.903,-132.079,2922_pos,5912_pos
0.8893,-88.052,2922_pos,4899_pos
0.9215,-44.026,2922_pos,3824_pos
1,0,1585_pos,1585_pos
0.8827,-0.019,33855_pos,38176_pos
0.8857,-14.016,24608_pos,38176_pos
0.8846,0.019,38176_pos,38178_pos
0.838,0,9851_pos,11642_pos
0.8111,12,36689_pos,37582_pos
0.8697,-2.016,33388_pos,42571_pos
0.9016,44.955,22995_pos,23170_pos
0.8742,-87.124,20772_pos,23170_pos
0.8856,-264.158,14850_pos,23170_pos
0.8968,-43.098,21546_pos,23170_pos
0.8667,79.957,22538_pos,23170_pos
0.9144,0.928,22248_pos,23170_pos
0.9249,-44.026,21674_pos,23170_pos
0.8632,-44.026,23170_pos,23190_pos
0.8894,44.026,19353_pos,23170_pos
0.8806,-308.184,14077_pos,23170_pos
0.9404,-132.079,41736_pos,42147_pos
0.9559,-44.026,41623_pos,41736_pos
0.9469,-88.053,41736_pos,42086_pos
0.9388,-71.026,41736_pos,42102_pos
0.9587,44.027,41666_pos,41736_pos
1,0,15778_pos,15778_pos
0.8997,0,12284_pos,21483_pos
0.7194,-0.002,41278_pos,42084_pos
0.918,-0.001,5138_pos,17196_pos
0.9248,17.028,5074_pos,5138_pos
0.8569,-17.028,5138_pos,17128_pos
0.8486,-61.054,5138_pos,15904_pos
0.8837,28.031,40124_pos,46617_pos
